cell_id,n_docs,rung,mode,rrf_k,leg_depth,shippable_triples,rerank_enabled,rerank_candidates,scale_regime,hnsw_built,chunks_per_doc,n_chunks,verdict,n_queries,ndcg@10,ndcg@5_chunk,recall@10,recall@100,map,mrr@10,mean_union_depth,mean_overlap,dense_starved_rate,bm25_starved_rate,dense_deficit_rate,bm25_deficit_rate,p50_ms,p95_ms
n50_bm25_rrfna_d10_rr0,50,n50,bm25,,10,tk1xm10 | tk5xm2 | tk10xm1,False,,brute_force,False,1.32,66,PASS,24,0.9539,0.928,1.0,1.0,0.9375,0.9375,10.0,0.0,0.0,0.0,0.0,0.0,6.6,17.8
n50_hybrid_rrf60_d10_rr0,50,n50,hybrid,60,10,tk1xm10 | tk5xm2 | tk10xm1,False,,brute_force,False,1.32,66,PASS,24,0.9846,0.9715,1.0,1.0,0.9792,0.9792,15.75,4.25,0.0,0.0,0.0,0.0,48.4,179.2
n50_vector_rrfna_d10_rr0,50,n50,vector,,10,tk1xm10 | tk5xm2 | tk10xm1,False,,brute_force,False,1.32,66,PASS,24,0.9591,0.9557,1.0,1.0,0.9458,0.9458,10.0,0.0,0.0,0.0,0.0,0.0,31.0,36.6
n50_bm25_rrfna_d100_rr0,50,n50,bm25,,100,tk1xm100 | tk5xm20 | tk10xm10 | tk20xm5,False,,brute_force,False,1.32,66,PASS,24,0.9539,0.928,1.0,1.0,0.9375,0.9375,59.54,0.0,0.0,1.0,0.0,0.0,9.1,15.7
n50_bm25_rrfna_d100_rr50,50,n50,bm25,,100,tk1xm2 | tk3xm2 | tk5xm2 | tk10xm2 | tk20xm2,True,50,brute_force,False,1.32,66,PASS,24,0.9583,0.9324,1.0,1.0,0.9444,0.9444,59.54,0.0,0.0,1.0,0.0,0.0,649.7,1073.4
n50_hybrid_rrf60_d100_rr0,50,n50,hybrid,60,100,tk1xm100 | tk5xm20 | tk10xm10 | tk20xm5,False,,brute_force,False,1.32,66,PASS,24,0.9846,0.9715,1.0,1.0,0.9792,0.9792,66.0,59.54,1.0,1.0,0.0,0.0,54.4,72.4
n50_hybrid_rrf60_d100_rr50,50,n50,hybrid,60,100,tk1xm2 | tk3xm2 | tk5xm2 | tk10xm2 | tk20xm2,True,50,brute_force,False,1.32,66,PASS,24,0.9583,0.9324,1.0,1.0,0.9444,0.9444,66.0,59.54,1.0,1.0,0.0,0.0,329.8,641.3
n50_vector_rrfna_d100_rr0,50,n50,vector,,100,tk1xm100 | tk5xm20 | tk10xm10 | tk20xm5,False,,brute_force,False,1.32,66,PASS,24,0.9591,0.9557,1.0,1.0,0.9458,0.9458,66.0,0.0,1.0,0.0,0.0,0.0,38.6,62.4
n50_vector_rrfna_d100_rr50,50,n50,vector,,100,tk1xm2 | tk3xm2 | tk5xm2 | tk10xm2 | tk20xm2,True,50,brute_force,False,1.32,66,PASS,24,0.9583,0.9324,1.0,1.0,0.9444,0.9444,66.0,0.0,1.0,0.0,0.0,0.0,361.5,523.9
n100_bm25_rrfna_d10_rr0,100,n100,bm25,,10,tk1xm10 | tk5xm2 | tk10xm1,False,,brute_force,False,1.25,125,PASS,46,0.9063,0.8771,0.971,0.971,0.8812,0.892,10.0,0.0,0.0,0.0,0.0,0.0,6.1,14.6
n100_hybrid_rrf60_d10_rr0,100,n100,hybrid,60,10,tk1xm10 | tk5xm2 | tk10xm1,False,,brute_force,False,1.25,125,PASS,46,0.9475,0.9241,1.0,1.0,0.9293,0.9312,16.59,3.41,0.0,0.0,0.0,0.0,40.3,48.7
n100_vector_rrfna_d10_rr0,100,n100,vector,,10,tk1xm10 | tk5xm2 | tk10xm1,False,,brute_force,False,1.25,125,PASS,46,0.9477,0.9334,0.9783,0.9783,0.9379,0.9379,10.0,0.0,0.0,0.0,0.0,0.0,30.2,38.0
n100_bm25_rrfna_d100_rr0,100,n100,bm25,,100,tk1xm100 | tk5xm20 | tk10xm10 | tk20xm5,False,,brute_force,False,1.25,125,PASS,46,0.9063,0.8771,0.971,1.0,0.8836,0.892,96.0,0.0,0.0,0.0652,0.0,0.0,10.6,169.1
n100_bm25_rrfna_d100_rr50,100,n100,bm25,,100,tk1xm2 | tk3xm2 | tk5xm2 | tk10xm2 | tk20xm2,True,50,brute_force,False,1.25,125,PASS,46,0.958,0.9271,1.0,1.0,0.9428,0.9464,96.0,0.0,0.0,0.0652,0.0,0.0,617.1,919.1
n100_hybrid_rrf60_d100_rr0,100,n100,hybrid,60,100,tk1xm100 | tk5xm20 | tk10xm10 | tk20xm5,False,,brute_force,False,1.25,125,PASS,46,0.9496,0.9149,1.0,1.0,0.9312,0.9348,117.07,78.93,0.0,0.0652,0.0,0.0,60.4,75.7
n100_hybrid_rrf60_d100_rr50,100,n100,hybrid,60,100,tk1xm2 | tk3xm2 | tk5xm2 | tk10xm2 | tk20xm2,True,50,brute_force,False,1.25,125,PASS,46,0.9626,0.9317,1.0,1.0,0.95,0.95,117.07,78.93,0.0,0.0652,0.0,0.0,368.3,575.6
n100_vector_rrfna_d100_rr0,100,n100,vector,,100,tk1xm100 | tk5xm20 | tk10xm10 | tk20xm5,False,,brute_force,False,1.25,125,PASS,46,0.9477,0.9334,0.9783,1.0,0.9396,0.9379,100.0,0.0,0.0,0.0,0.0,0.0,43.0,58.0
n100_vector_rrfna_d100_rr50,100,n100,vector,,100,tk1xm2 | tk3xm2 | tk5xm2 | tk10xm2 | tk20xm2,True,50,brute_force,False,1.25,125,PASS,46,0.9626,0.9317,1.0,1.0,0.95,0.95,100.0,0.0,0.0,0.0,0.0,0.0,336.5,515.7
n200_bm25_rrfna_d10_rr0,200,n200,bm25,,10,tk1xm10 | tk5xm2 | tk10xm1,False,,brute_force,False,1.255,251,PASS,90,0.8708,0.8525,0.9252,0.9252,0.8492,0.8618,10.0,0.0,0.0,0.0,0.0,0.0,4.4,14.6
n200_hybrid_rrf60_d10_rr0,200,n200,hybrid,60,10,tk1xm10 | tk5xm2 | tk10xm1,False,,brute_force,False,1.255,251,PASS,90,0.9526,0.9427,0.9889,0.9889,0.9392,0.9417,16.48,3.52,0.0,0.0,0.0,0.0,32.3,41.9
n200_vector_rrfna_d10_rr0,200,n200,vector,,10,tk1xm10 | tk5xm2 | tk10xm1,False,,brute_force,False,1.255,251,PASS,90,0.9462,0.9442,0.9778,0.9778,0.9352,0.9352,10.0,0.0,0.0,0.0,0.0,0.0,26.9,41.8
n200_bm25_rrfna_d100_rr0,200,n200,bm25,,100,tk1xm100 | tk5xm20 | tk10xm10 | tk20xm5,False,,brute_force,False,1.255,251,PASS,90,0.874,0.8525,0.9363,0.9889,0.8549,0.8629,96.09,0.0,0.0,0.0889,0.0,0.0,10.1,17.1
n200_bm25_rrfna_d100_rr50,200,n200,bm25,,100,tk1xm2 | tk3xm2 | tk5xm2 | tk10xm2 | tk20xm2,True,50,brute_force,False,1.255,251,PASS,90,0.9352,0.9096,0.9889,0.9889,0.9155,0.9204,96.09,0.0,0.0,0.0889,0.0,0.0,592.4,885.7
n200_hybrid_rrf60_d100_rr0,200,n200,hybrid,60,100,tk1xm100 | tk5xm20 | tk10xm10 | tk20xm5,False,,brute_force,False,1.255,251,PASS,90,0.9468,0.9262,0.9889,1.0,0.932,0.9358,146.23,49.86,0.0,0.0889,0.0,0.0,59.2,139.8
n200_hybrid_rrf60_d100_rr50,200,n200,hybrid,60,100,tk1xm2 | tk3xm2 | tk5xm2 | tk10xm2 | tk20xm2,True,50,brute_force,False,1.255,251,PASS,90,0.9464,0.9228,1.0,1.0,0.927,0.931,146.23,49.86,0.0,0.0889,0.0,0.0,362.1,518.2
